"## Vehicle"
"Name","Description","DistUnit","FuelUnit","ConsumptionUnit","ImportCSVDateFormat","VIN","Insurance","Plate","Make","Model","Year","TankCount","Tank1Type","Tank2Type","Active","Tank1Capacity","Tank2Capacity","FuelUnitTank2","FuelConsumptionTank2"
"Peugeot 308","","0","0","0","yyyy-MM-dd","","","","Peugeot","308","2019","1","200","0","1","53.0","0.0","0","0"
"## Log"
"Data","Odo (km)","Fuel (litres)","Full","Price (optional)","l/100km (optional)","latitude (optional)","longitude (optional)","City (optional)","Notes (optional)","Missed","TankNumber","FuelType","VolumePrice","StationID (optional)","ExcludeDistance","UniqueId","TankCalc"
"2024-08-13 08:00","130484","34.99","1","55.83","0","","","","","0","1","200","1.596","0","0.0","169","0.0"
"2024-08-26 08:00","131173","36.65","1","66.69","0","","","","","0","1","200","1.820","0","0.0","170","0.0"
"2024-09-05 08:00","131813","34.56","1","61.95","0","","","","","0","1","200","1.792","0","0.0","171","0.0"
"2024-09-18 08:00","132588","42.18","1","59.87","0","","","","","0","1","200","1.419","0","0.0","172","0.0"
"2024-10-02 08:00","133345","43.75","1","66.25","0","","","","","0","1","200","1.514","0","0.0","173","0.0"
"2024-10-12 08:00","134001","34.14","1","65.04","0","","","","","0","1","200","1.905","0","0.0","174","0.0"
"2024-10-22 08:00","134771","43.20","1","74.71","0","","","","","0","1","200","1.730","0","0.0","175","0.0"
"2024-11-04 08:00","135405","35.76","1","49.37","0","","","","","0","1","200","1.381","0","0.0","176","0.0"
"2024-11-15 08:00","136062","37.75","1","65.25","0","","","","","0","1","200","1.729","0","0.0","177","0.0"
"2024-11-27 08:00","136836","42.87","1","71.39","0","","","","","0","1","200","1.665","0","0.0","178","0.0"
"2024-12-10 08:00","137568","37.89","1","53.73","0","","","","","0","1","200","1.418","0","0.0","179","0.0"
"2024-12-24 08:00","138339","40.35","1","61.37","0","","","","","0","1","200","1.521","0","0.0","180","0.0"
"2025-01-07 08:00","138959","33.96","1","65.14","0","","","","","0","1","200","1.918","0","0.0","181","0.0"
"2025-01-19 08:00","139733","42.93","1","79.74","0","","","","","0","1","200","1.857","0","0.0","182","0.0"
"2025-02-01 08:00","140437","38.61","1","53.89","0","","","","","0","1","200","1.396","0","0.0","183","0.0"
"2025-02-14 08:00","141170","38.95","1","54.20","0","","","","","0","1","200","1.392","0","0.0","184","0.0"
"2025-02-27 08:00","141931","42.29","1","60.21","0","","","","","0","1","200","1.424","0","0.0","185","0.0"
"2025-03-10 08:00","142658","41.77","1","62.76","0","","","","","0","1","200","1.502","0","0.0","186","0.0"
"2025-03-20 08:00","143389","40.98","1","64.56","0","","","","","0","1","200","1.576","0","0.0","187","0.0"
"2025-04-02 08:00","144041","36.87","1","65.60","0","","","","","0","1","200","1.779","0","0.0","188","0.0"
"2025-04-16 08:00","144672","34.36","1","51.13","0","","","","","0","1","200","1.488","0","0.0","189","0.0"
"2025-04-27 08:00","145329","34.52","1","61.82","0","","","","","0","1","200","1.791","0","0.0","190","0.0"
"2025-05-09 08:00","145966","35.29","1","60.33","0","","","","","0","1","200","1.709","0","0.0","191","0.0"
"2025-05-20 08:00","146664","40.02","1","56.45","0","","","","","0","1","200","1.410","0","0.0","192","0.0"
"## CostCategories"
"CostTypeID","Name","priority","color"
"1","Service","0",""
"34","MOT","0",""
"## Costs"
"CostTitle","Date","Odo","CostTypeID","Notes","Cost","flag","idR","read","RemindOdo","RemindDate","isTemplate","RepeatOdo","RepeatMonths","isIncome","UniqueId"
"Vidange + filtre","2020-05-12 10:00","0","1","","179","0","0","0","0","","0","0","0","0","900"
"Vidange + filtre","2021-05-12 10:00","0","1","","185","0","0","0","0","","0","0","0","0","901"
"Plaquettes de frein","2022-05-12 10:00","0","1","","240","0","0","0","0","","0","0","0","0","902"
"Contrôle technique","2023-05-12 10:00","0","34","","78","0","0","0","0","","0","0","0","0","903"
"Vidange + filtre","2023-05-12 10:00","0","1","","192","0","0","0","0","","0","0","0","0","904"
"Pneus été","2024-05-12 10:00","0","1","","480","0","0","0","0","","0","0","0","0","905"
"Vidange + filtre","2024-05-12 10:00","0","1","","199","0","0","0","0","","0","0","0","0","906"
